"...1","Year","State","State ANSI","Value","CV (%)","Type","Condition","Metric"
90,2021,"MARYLAND","24",53810,"42.8","","SALES"," $"
91,2021,"MARYLAND","24",127,"35.4","","SALES"," CWT"
92,2021,"MARYLAND","24",17,"31.1"," FRESH MARKET","SALES",""
93,2021,"MARYLAND","24",NA,NA," FRESH MARKET","SALES"," $"
94,2021,"MARYLAND","24",NA,NA," FRESH MARKET","SALES"," CWT"
95,2021,"MARYLAND","24",2,NA," PROCESSING","SALES",""
96,2021,"MARYLAND","24",NA,NA," PROCESSING","SALES"," $"
97,2021,"MARYLAND","24",NA,NA," PROCESSING","SALES"," CWT"
98,2021,"MASSACHUSETTS","25",12,"79.2","","SALES",""
99,2021,"MASSACHUSETTS","25",251,"76.5","","PRODUCTION"," CWT"
100,2021,"MASSACHUSETTS","25",94827,"80.1","","SALES"," $"
101,2021,"MASSACHUSETTS","25",251,"76.5","","SALES"," CWT"
102,2021,"MASSACHUSETTS","25",12,"79.2"," FRESH MARKET","SALES",""
103,2021,"MASSACHUSETTS","25",94827,"80.1"," FRESH MARKET","SALES"," $"
104,2021,"MASSACHUSETTS","25",251,"76.5"," FRESH MARKET","SALES"," CWT"
105,2021,"MICHIGAN","26",26,"32.5","","SALES",""
106,2021,"MICHIGAN","26",564,"43.9","","PRODUCTION"," CWT"
107,2021,"MICHIGAN","26",174011,"44.1","","SALES"," $"
108,2021,"MICHIGAN","26",564,"43.9","","SALES"," CWT"
109,2021,"MICHIGAN","26",26,"32.5"," FRESH MARKET","SALES",""
110,2021,"MICHIGAN","26",174011,"44.1"," FRESH MARKET","SALES"," $"
111,2021,"MICHIGAN","26",564,"43.9"," FRESH MARKET","SALES"," CWT"
112,2021,"MINNESOTA","27",21,"39.5","","SALES",""
113,2021,"MINNESOTA","27",749,"54.0","","PRODUCTION"," CWT"
114,2021,"MINNESOTA","27",418914,"62.4","","SALES"," $"
115,2021,"MINNESOTA","27",749,"54.0","","SALES"," CWT"
116,2021,"MINNESOTA","27",18,"43.6"," FRESH MARKET","SALES",""
